name, clean_100k.ply, real_100k.ply, noiseless.ply, mesh.ply, comment
959_che,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞,
961_che,正常,车窗孔洞,车窗孔洞,正963_che,正常,车窗孔洞,车窗孔洞,正常,
965_che,分割标注错误,车窗孔洞 分割标注错误,车窗孔洞,正常,
967_che,正常,车窗孔洞,车窗孔洞,正常,
969_che,正常,车窗孔洞,车窗孔洞,正常,
963_che,正常,车窗孔洞 分割标注错误,车窗孔洞,正常,
971_che,车窗孔洞,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞,
973_che,分割标注缺失,分割标注缺失,正常,,
975_che,分割标注错误,分割标注错误,噪音过多,正常,
977_che,分割标注错误,车窗孔洞,车窗孔洞,正常,
979_che,正常,噪音过多,车窗孔洞 噪音过多,正常,
981_che,正常,车窗孔洞 噪音过多,车窗孔洞,正常,
983_che,车窗孔洞 分割标注错误,噪音过多 车窗孔洞 分割标注错误,车窗孔洞 噪音过多 分割标注错误,车窗孔洞,
985_che,正常,车窗孔洞,车窗孔洞,正常,
987_che,表面不光滑,车窗孔洞 噪音过多,车窗孔洞 噪音过多,正常,
989_che,正常,车窗孔洞,车窗孔洞,车窗孔洞,
991_che,正常,车窗孔洞,车窗孔洞,正常,
993_che,正常,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞,
995_che,正常,噪音过多,噪音过多,噪音过多,
997_che,正常,车窗孔洞 噪音过多,车窗孔洞 噪音过多,正常,
999_che,分割标注错误 车窗孔洞,分割标注错误 车窗孔洞,车窗孔洞 噪音过多,车窗孔洞,
